"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
1987,"Georgia","GA",35,1,1,NA,2,56,19,5,NA,24,180,26,236,11
1986,"Georgia","GA",37,2,0,NA,2,56,17,4,NA,21,180,23,236,9.7
1985,"Georgia","GA",37,2,0,NA,2,56,17,4,NA,21,180,23,236,9.7
1984,"Georgia","GA",38,2,0,NA,2,56,14,3,NA,17,180,19,236,8.1
1983,"Georgia","GA",39,2,0,NA,2,56,14,3,NA,17,180,19,236,8.1
1981,"Georgia","GA",39,2,0,NA,2,56,12,3,NA,15,180,17,236,7.2
1979,"Georgia","GA",38,NA,NA,NA,1,56,NA,NA,NA,14,180,15,236,6.4
1977,"Georgia","GA",40,NA,NA,NA,1,56,NA,NA,NA,10,180,11,236,4.7
1975,"Georgia","GA",38,NA,NA,NA,1,56,NA,NA,NA,9,180,10,236,4.2
2014,"Minnesota","MN",4,15,8,NA,23,67,28,17,NA,45,134,68,201,33.8
2013,"Minnesota","MN",4,15,8,NA,23,67,28,17,NA,45,134,68,201,33.8
2012,"Minnesota","MN",5,11,10,NA,21,67,27,18,NA,45,134,66,201,32.8
2011,"Minnesota","MN",6,9,10,NA,19,67,26,18,NA,44,134,63,201,31.3
2010,"Minnesota","MN",4,19,8,NA,27,67,33,10,NA,43,134,70,201,34.8
2009,"Minnesota","MN",4,19,8,NA,27,67,33,10,NA,43,134,70,201,34.8
2008,"Minnesota","MN",5,19,8,NA,27,67,35,8,NA,43,134,70,201,34.8
2007,"Minnesota","MN",3,18,9,NA,27,67,35,8,NA,43,134,70,201,34.8
2006,"Minnesota","MN",10,13,12,1,26,67,26,11,NA,37,134,63,201,31.3
2005,"Minnesota","MN",13,11,11,1,23,67,26,11,NA,37,134,60,201,29.9
2004,"Minnesota","MN",17,11,11,1,23,67,16,16,NA,32,134,55,201,27.4
2003,"Minnesota","MN",15,11,11,1,23,67,16,16,NA,32,134,55,201,27.4
2002,"Minnesota","MN",10,14,11,NA,25,67,22,13,NA,35,134,60,201,29.9
2001,"Minnesota","MN",12,12,11,NA,23,67,22,13,NA,35,134,58,201,28.9
2000,"Minnesota","MN",11,14,8,NA,22,67,20,15,NA,35,134,57,201,28.4
1999,"Minnesota","MN",11,14,8,NA,22,67,20,15,NA,35,134,57,201,28.4
1998,"Minnesota","MN",6,14,8,NA,22,67,26,14,NA,40,134,62,201,30.8
1997,"Minnesota","MN",6,14,8,NA,22,67,26,14,NA,40,134,62,201,30.8
1996,"Minnesota","MN",13,11,7,NA,18,67,19,13,NA,32,134,50,201,24.9
1995,"Minnesota","MN",13,11,7,NA,18,67,19,13,NA,32,134,50,201,24.9
1994,"Minnesota","MN",10,12,8,NA,20,67,24,10,NA,34,134,54,201,26.9
1993,"Minnesota","MN",10,12,8,NA,20,67,25,10,NA,35,134,55,201,27.4
1992,"Minnesota","MN",17,9,5,NA,14,67,17,11,NA,28,134,42,201,20.9
1991,"Minnesota","MN",17,9,5,NA,14,67,18,11,NA,29,134,43,201,21.4
1990,"Minnesota","MN",21,6,4,NA,10,67,17,10,NA,27,134,37,201,18.4
1989,"Minnesota","MN",19,6,4,NA,10,67,17,10,NA,27,134,37,201,18.4
1988,"Minnesota","MN",26,6,3,NA,9,67,15,7,NA,22,134,31,201,15.4
1987,"Minnesota","MN",26,6,3,NA,9,67,15,7,NA,22,134,31,201,15.4
1986,"Minnesota","MN",26,5,4,NA,9,67,12,8,NA,20,134,29,201,14.4
1985,"Minnesota","MN",26,5,4,NA,9,67,12,8,NA,20,134,29,201,14.4
